dataset,channel,baseline_mean,baseline_std,signal_mean,signal_std,drift_std,excursion_std,candidate_events,accepted_events,rejected_events
expert10,FBG1,2.3236580944899875e-05,0.00179342175788978,-0.00010804784930327875,0.001984144583709708,0.07320332190162215,3.8000219023044193,16,0,16
expert10,FBG2,-1.0028970635956207e-05,0.0004975713440511862,-0.010740254057681283,0.005113925960202967,21.56519907211836,72.89052685834783,10,4,6
expert10,FBG3,-1.3975887116564365e-05,0.0006830355898473045,-7.625959581574852e-05,0.000719073318951258,0.09118662281288732,3.633349364716408,17,0,17
expert12,FBG1,4.870655096718973e-05,0.0021556760075857467,0.0001616645245201323,0.0017812477398395214,0.05240025549082863,2.7604512902618468,9,0,9
expert12,FBG2,4.958390879294244e-06,0.0006246465092522209,0.0037720884819620374,0.0024395191046366034,6.0308190877308565,27.661144414104275,9,3,6
expert12,FBG3,-3.039388637984662e-05,0.0009045588494859787,0.0002784096931688382,0.0007492485528496365,0.34138583655907456,2.7869937680001864,7,0,7
expert13,FBG1,-3.1495838572000226e-05,0.0019091150862601686,6.417328348492124e-05,0.00201492685985959,0.050111762640947445,3.2708522093192247,13,0,13
expert13,FBG2,-2.6581557877704934e-06,0.0006640962066719877,-0.003647287266201085,0.009868522672138303,5.488104093649009,54.577958393864265,19,1,18
expert13,FBG3,6.676163721862877e-06,0.0005443551395185727,-0.00017050865828235646,0.0007581726824210894,0.32549490055503366,4.766678372615935,12,0,12
expert7,FBG1,1.747707303080132e-05,0.0017100581046971212,-0.00034967944572452894,0.0018407846068284257,0.21470411896931396,4.0143355674042525,12,0,12
expert7,FBG2,3.511204267126984e-05,0.0005598273310967864,-0.0005493273078309698,0.0006222516072081804,1.043963590268511,4.226782874884848,5,0,5
expert7,FBG3,1.8074043078515656e-05,0.0008029000619759475,5.64358893169624e-05,0.0007268775873861078,0.04777910484156364,4.1181952326371505,10,0,10
expert8,FBG1,6.397190216781427e-06,0.0018913915709136125,-0.0011278451793600604,0.001884293319272536,0.5996867000041459,3.3151228304341536,25,0,25
expert8,FBG2,-2.0530329312937134e-05,0.0005776186928373449,0.016016862331121016,0.007782399216888456,27.764670463928383,64.38331199247513,18,7,11
expert8,FBG3,-2.07260735777058e-05,0.0008473985764932617,-7.692753583812035e-05,0.0007181835441698147,0.06632234679103388,3.1627531253506285,23,0,23
expert9,FBG1,4.060282537776648e-06,0.0016793955112045435,0.0015687586829501946,0.0019965174851013603,0.9317033360951054,5.58235968341675,88,2,86
expert9,FBG2,-1.7785494672909853e-05,0.0005060692982598769,-0.035761607327938975,0.007114534587879795,70.63029106126663,102.00359239465664,42,16,26
expert9,FBG3,1.0316465515207317e-05,0.0008344613973742878,-0.00016865660360555846,0.0007372888088504581,0.21447734992166392,3.040163088411507,73,0,73
