event_id,dataset,channel,start_index,peak_index,end_index,start_time,peak_time,end_time,peak_value,duration,detection_methods,method_count,evidence_score,accepted,rejection_reason
expert10-FBG1-001,expert10,FBG1,0,0,1,0.02,0.02,0.039999,-0.0035886336064691812,0.019999,peak,1,0.3,False,duration_below_min_samples (2 < 3)
expert10-FBG1-002,expert10,FBG1,57,57,57,1.159988,1.159988,1.159988,0.00332405966099052,0.0,peak,1,0.3,False,duration_below_min_samples (1 < 3)
expert10-FBG1-003,expert10,FBG1,120,120,120,2.419976,2.419976,2.419976,-0.0030059138781785826,0.0,peak,1,0.3,False,duration_below_min_samples (1 < 3)
expert10-FBG1-004,expert10,FBG1,209,210,211,4.199958,4.219958,4.239958,0.0038253964739185064,0.040000000000000036,peak,1,0.3,False,"noise_like_event (methods=1, dev_std=2.12)"
expert10-FBG1-005,expert10,FBG1,314,314,314,6.299937,6.299937,6.299937,-0.003552180904229801,0.0,peak,1,0.3,False,duration_below_min_samples (1 < 3)
expert10-FBG1-006,expert10,FBG1,363,365,368,7.279927,7.319927,7.379926,0.005536044135976112,0.0999990000000004,change_point|peak,2,0.44999999999999996,False,low_amplitude (dev_std=3.07 < 5.0)
expert10-FBG1-007,expert10,FBG1,470,472,474,9.419906,9.459905,9.499905,-0.004838403475029067,0.07999900000000082,change_point|peak,2,0.44999999999999996,False,low_amplitude (dev_std=2.71 < 5.0)
expert10-FBG1-008,expert10,FBG1,513,515,518,10.279897,10.319897,10.379896,0.006838278540995358,0.0999990000000004,peak,1,0.3,False,"noise_like_event (methods=1, dev_std=3.80)"
expert10-FBG1-009,expert10,FBG1,545,546,548,10.919891,10.93989,10.97989,-0.0041891189603786,0.05999899999999947,peak,1,0.3,False,"noise_like_event (methods=1, dev_std=2.35)"
expert10-FBG1-010,expert10,FBG1,590,590,590,11.819882,11.819882,11.819882,-0.0033232942041482223,0.0,peak,1,0.3,False,duration_below_min_samples (1 < 3)
expert10-FBG1-011,expert10,FBG1,645,648,652,12.919871,12.97987,13.059869,-0.005886826600127452,0.1399980000000003,change_point|peak,2,0.44999999999999996,False,low_amplitude (dev_std=3.30 < 5.0)
expert10-FBG1-012,expert10,FBG1,759,760,762,15.199848,15.219848,15.259847,-0.004632283556417674,0.059999000000001246,peak,1,0.3,False,"noise_like_event (methods=1, dev_std=2.60)"
expert10-FBG1-013,expert10,FBG1,793,793,793,15.879841,15.879841,15.879841,0.003586932991781787,0.0,peak,1,0.3,False,duration_below_min_samples (1 < 3)
expert10-FBG1-014,expert10,FBG1,823,823,823,16.479835,16.479835,16.479835,-0.002903061661914376,0.0,peak,1,0.3,False,duration_below_min_samples (1 < 3)
expert10-FBG1-015,expert10,FBG1,1019,1021,1025,20.399796,20.439795,20.519794,-0.004153989072283089,0.11999800000000249,peak,1,0.3,False,"noise_like_event (methods=1, dev_std=2.33)"
expert10-FBG1-016,expert10,FBG1,159,159,159,3.199968,3.199968,3.199968,0.0019263267436215416,0.0,change_point,1,0.15,False,duration_below_min_samples (1 < 3)
expert10-FBG2-001,expert10,FBG2,113,115,117,2.279977,2.319977,2.359977,-0.0012480056438878408,0.08000000000000007,peak,1,0.3,False,"noise_like_event (methods=1, dev_std=2.49)"
expert10-FBG2-002,expert10,FBG2,181,184,1071,3.639964,3.699963,21.439785,-0.036278266388143174,17.799821,change_point|derivative|peak|threshold,4,1.0,True,
expert10-FBG2-003,expert10,FBG2,296,306,316,5.939941,6.139939,6.339936,-0.014447568444174323,0.39999499999999966,peak,1,0.3,False,insufficient_method_agreement (1 < 2)
expert10-FBG2-004,expert10,FBG2,346,422,432,6.939931,8.459915,8.659913,-0.01427198161508837,1.719982,change_point|peak,2,0.44999999999999996,True,
expert10-FBG2-005,expert10,FBG2,494,494,497,9.899901,9.899901,9.9599,-0.012669356500772708,0.05999899999999947,change_point,1,0.15,False,insufficient_method_agreement (1 < 2)
expert10-FBG2-006,expert10,FBG2,544,563,573,10.899891,11.279887,11.479885,-0.014949010563256473,0.5799939999999992,change_point|derivative|peak,3,0.7,True,
expert10-FBG2-007,expert10,FBG2,615,631,635,12.319877,12.639873,12.719873,-0.012784999049645777,0.3999959999999998,peak,1,0.3,False,insufficient_method_agreement (1 < 2)
expert10-FBG2-008,expert10,FBG2,684,845,855,13.699863,16.919831,17.119829,-0.014501089800097868,3.4199659999999987,peak,1,0.3,False,insufficient_method_agreement (1 < 2)
expert10-FBG2-009,expert10,FBG2,897,950,1016,17.95982,19.01981,20.339796,-0.01433606113192826,2.379975999999999,change_point|derivative|peak,3,0.7,True,
expert10-FBG2-010,expert10,FBG2,1077,1087,1087,21.559784,21.759782,21.759782,-0.01794906910799629,0.1999980000000008,change_point|derivative|peak|threshold,4,1.0,False,"no_confirmed_recovery (end_index=1087, signal_length=1088)"
expert10-FBG3-001,expert10,FBG3,48,48,48,0.97999,0.97999,0.97999,-0.001264946223568529,0.0,peak,1,0.3,False,duration_below_min_samples (1 < 3)
expert10-FBG3-002,expert10,FBG3,96,97,98,1.939981,1.95998,1.97998,0.0015389810734362072,0.03999900000000012,peak,1,0.3,False,"noise_like_event (methods=1, dev_std=2.27)"
expert10-FBG3-003,expert10,FBG3,198,199,201,3.97996,3.99996,4.039959,0.0016177412462627257,0.05999899999999947,change_point|peak,2,0.44999999999999996,False,low_amplitude (dev_std=2.39 < 5.0)
expert10-FBG3-004,expert10,FBG3,265,265,265,5.319947,5.319947,5.319947,0.00045103607271290285,0.0,change_point,1,0.15,False,duration_below_min_samples (1 < 3)
expert10-FBG3-005,expert10,FBG3,372,373,375,7.459925,7.479925,7.519925,-0.001511672641673698,0.05999999999999961,peak,1,0.3,False,"noise_like_event (methods=1, dev_std=2.19)"
expert10-FBG3-006,expert10,FBG3,423,423,423,8.479915,8.479915,8.479915,0.001256180394507516,0.0,peak,1,0.3,False,duration_below_min_samples (1 < 3)
expert10-FBG3-007,expert10,FBG3,482,483,484,9.659903,9.679903,9.699903,-0.0014456905870239179,0.040000000000000924,peak,1,0.3,False,"noise_like_event (methods=1, dev_std=2.10)"
expert10-FBG3-008,expert10,FBG3,519,520,522,10.399896,10.419896,10.459895,-0.0017791044139597095,0.05999899999999947,peak,1,0.3,False,"noise_like_event (methods=1, dev_std=2.58)"
