filter,method,detected_regions,baseline_mean,baseline_std,threshold,parameter,max_derivative,max_derivative_deviation,detected_samples
moving_average,peak,11,9.339999661734018e-06,0.0018705628426729502,0.005611688528018851,3.0,,,
moving_average,threshold,0,9.339999661734018e-06,0.0018705628426729502,0.005611688528018851,3.0,,,
moving_average,derivative,0,0.0006418667324308322,0.04631543295586476,0.13894629886759427,3.0,0.14774999999986066,0.14710813326742983,2.0
moving_average,change_point,0,9.339999661734018e-06,0.0018705628426729502,3.0,20.0,,,
butterworth,peak,15,2.323658094489899e-05,0.0017934217578897363,0.005380265273669209,3.0,,,
butterworth,threshold,2,2.323658094489899e-05,0.0017934217578897363,0.005380265273669209,3.0,,,
butterworth,derivative,0,0.0015213790709717304,0.037449557024673674,0.11234867107402102,3.0,0.11331459677334743,0.1117932177023757,0.0
butterworth,change_point,4,2.323658094489899e-05,0.0017934217578897363,3.0,20.0,,,
savitzky_golay,peak,12,-1.77244758634195e-05,0.0019681767574355265,0.00590453027230658,3.0,,,
savitzky_golay,threshold,1,-1.77244758634195e-05,0.0019681767574355265,0.00590453027230658,3.0,,,
savitzky_golay,derivative,0,0.0010913951349935823,0.04633155478620237,0.1389946643586071,3.0,0.16827622377614357,0.16718482864114997,3.0
savitzky_golay,change_point,0,-1.77244758634195e-05,0.0019681767574355265,3.0,20.0,,,
median,peak,14,0.00017119999966098973,0.002396935551896431,0.007190806655689294,3.0,,,
median,threshold,1,0.00017119999966098973,0.002396935551896431,0.007190806655689294,3.0,,,
median,derivative,0,0.00038794820773817973,0.06106979292684132,0.18320937878052396,3.0,0.2769999999998238,0.2766120517920856,14.0
median,change_point,0,0.00017119999966098973,0.002396935551896431,3.0,20.0,,,
