filter,method,impact_number,start_index,start_time,peak_index,peak_time,peak_value,recovery_index,recovery_time,end_index,end_time,duration
moving_average,peak,1,0,0.02,7,0.159998,0.0034837999996852,8,0.179998,8,0.179998,0.159998
moving_average,peak,2,35,0.719993,57,1.159988,0.0047677999996267,58,1.179988,58,1.179988,0.45999500000000004
moving_average,peak,3,96,1.939981,121,2.439976,-0.0046802000003481,122,2.459975,122,2.459975,0.5199940000000001
moving_average,peak,4,166,3.339967,176,3.539965,0.0046477999996568,177,3.559964,177,3.559964,0.21999699999999978
moving_average,peak,5,252,5.059949,316,6.339936,-0.0049502000002576,317,6.359936,317,6.359936,1.2999870000000007
moving_average,peak,6,354,7.099929,515,10.319897,0.0075617999996666,518,10.379896,518,10.379896,3.279967
moving_average,peak,7,618,12.379876,648,12.97987,-0.0062002000002848,650,13.01987,650,13.01987,0.6399939999999997
moving_average,peak,8,738,14.779852,759,15.199848,-0.0051102000003538,761,15.239847,761,15.239847,0.45999499999999927
moving_average,peak,9,783,15.679843,793,15.879841,0.0035957999996753,794,15.899841,794,15.899841,0.21999800000000036
moving_average,peak,10,871,17.439825,881,17.639823,0.0030097999996996,882,17.659823,882,17.659823,0.21999800000000036
moving_average,peak,11,900,18.019819,1021,20.439795,-0.0046482000003379,1023,20.479795,1023,20.479795,2.459976000000001
butterworth,peak,1,0,0.02,0,0.02,-0.0035886336064691,1,0.039999,1,0.039999,0.019999
butterworth,peak,2,35,0.719993,57,1.159988,0.0033240596609905,58,1.179988,58,1.179988,0.45999500000000004
butterworth,peak,3,110,2.219978,120,2.419976,-0.0030059138781785,121,2.439976,121,2.439976,0.21999800000000036
butterworth,peak,4,166,3.339967,210,4.219958,0.0038253964739185,211,4.239958,211,4.239958,0.8999909999999995
butterworth,peak,5,252,5.059949,314,6.299937,-0.0035521809042298,315,6.319937,315,6.319937,1.2599880000000008
butterworth,peak,6,355,7.119929,365,7.319927,0.0055360441359761,368,7.379926,368,7.379926,0.25999700000000026
butterworth,peak,7,399,7.99992,472,9.459905,-0.004838403475029,474,9.499905,474,9.499905,1.4999849999999997
butterworth,peak,8,505,10.119899,515,10.319897,0.0068382785409953,518,10.379896,518,10.379896,0.25999700000000026
butterworth,peak,9,536,10.739892,546,10.93989,-0.0041891189603786,548,10.97989,548,10.97989,0.23999799999999993
butterworth,peak,10,564,11.299887,590,11.819882,-0.0033232942041482,591,11.839881,591,11.839881,0.5399940000000001
butterworth,peak,11,617,12.359876,648,12.97987,-0.0058868266001274,652,13.059869,652,13.059869,0.699993000000001
butterworth,peak,12,727,14.559854,760,15.219848,-0.0046322835564176,762,15.259847,762,15.259847,0.699993000000001
butterworth,peak,13,783,15.679843,793,15.879841,0.0035869329917817,794,15.899841,794,15.899841,0.21999800000000036
butterworth,peak,14,813,16.279837,823,16.479835,-0.0029030616619143,824,16.499835,824,16.499835,0.21999800000000036
