dataset,fbg,impact_id,start_time,peak_time,end_time,pre_impact_baseline,peak_value,peak_shift,absolute_peak_shift,post_impact_level,residual_shift,rise_time,recovery_time,residual_n_samples,residual_reason
expert10,FBG2,expert10-FBG2-004,3.639964,3.719963,4.899951,1.514592102133483e-05,-0.03613784452178458,-0.03615299044280592,0.03615299044280592,-0.01304399836794724,-0.013059144288968575,0.07999899999999993,1.1799879999999998,14,
expert10,FBG2,expert10-FBG2-005,5.279947,6.159938,7.919921,1.514592102133483e-05,-0.014649732633695501,-0.014664878554716836,0.014664878554716836,-0.01232880023277742,-0.012343946153798755,0.8799910000000004,1.759983,11,
expert10,FBG2,expert10-FBG2-006,8.239918,8.439915,9.499905,1.514592102133483e-05,-0.014305793239849065,-0.0143209391608704,0.0143209391608704,-0.013181364335432003,-0.013196510256453338,0.19999699999999976,1.0599900000000009,17,
expert10,FBG2,expert10-FBG2-007,9.759903,9.859901,10.159898,1.514592102133483e-05,-0.013387331701355303,-0.013402477622376638,0.013402477622376638,-0.012657051981107257,-0.012672197902128592,0.09999800000000114,0.2999969999999994,11,
expert10,FBG2,expert10-FBG2-008,10.359896,10.559894,10.759892,1.514592102133483e-05,-0.013515839859902594,-0.013530985780923929,0.013530985780923929,-0.012891632400672865,-0.0129067783216942,0.199997999999999,0.1999980000000008,20,
expert10,FBG2,expert10-FBG2-009,10.899891,11.279887,11.479885,1.514592102133483e-05,-0.01499576992977764,-0.015010915850798974,0.015010915850798974,-0.013021271095290068,-0.013036417016311403,0.3799960000000002,0.199997999999999,36,
expert10,FBG2,expert10-FBG2-010,12.299877,12.659873,12.699873,1.514592102133483e-05,-0.012974930769006056,-0.01299007669002739,0.01299007669002739,-0.013010851514896532,-0.013025997435917867,0.3599959999999989,0.040000000000000924,45,
expert10,FBG2,expert10-FBG2-011,13.699863,14.639853,15.539844,1.514592102133483e-05,-0.014209126573127534,-0.014224272494148869,0.014224272494148869,-0.01256186550087675,-0.012577011421898085,0.9399899999999999,0.899991,16,
expert10,FBG2,expert10-FBG2-012,15.779842,15.97984,16.439835,1.514592102133483e-05,-0.013766306060289226,-0.01378145198131056,0.01378145198131056,-0.012405793239841574,-0.012420939160862909,0.199997999999999,0.45999499999999927,21,
expert10,FBG2,expert10-FBG2-013,16.679833,16.879831,17.079829,1.514592102133483e-05,-0.014570292074345266,-0.014585437995366601,0.014585437995366601,-0.012681620745651889,-0.012696766666673224,0.1999980000000008,0.1999980000000008,10,
expert10,FBG2,expert10-FBG2-014,17.379826,18.99981,20.679793,1.514592102133483e-05,-0.014339779253836196,-0.01435492517485753,0.01435492517485753,-0.01224406829810889,-0.012259214219130225,1.6199839999999988,1.679983,50,
