event_id,dataset,channel,start_index,peak_index,end_index,start_time,peak_time,end_time,peak_value,duration,detection_methods,method_count,evidence_score,accepted,rejection_reason
expert10-FBG2-001,expert10,FBG2,14,14,15,0.299997,0.299997,0.319997,-0.0011101289041693739,0.019999999999999962,peak,1,0.3,False,duration_below_min_samples (2 < 3)
expert10-FBG2-002,expert10,FBG2,54,54,54,1.099989,1.099989,1.099989,0.0009991251751251626,0.0,peak,1,0.3,False,duration_below_min_samples (1 < 3)
expert10-FBG2-003,expert10,FBG2,114,115,116,2.299977,2.319977,2.339977,-0.0014481009321180983,0.040000000000000036,peak,1,0.3,False,low_amplitude (dev_std=2.66 < 5.0)
expert10-FBG2-004,expert10,FBG2,181,185,244,3.639964,3.719963,4.899951,-0.03613784452178458,1.2599869999999997,peak,1,0.3,True,
expert10-FBG2-005,expert10,FBG2,263,307,395,5.279947,6.159938,7.919921,-0.014649732633695501,2.6399740000000005,peak,1,0.3,True,
expert10-FBG2-006,expert10,FBG2,411,421,474,8.239918,8.439915,9.499905,-0.014305793239849065,1.2599870000000006,peak,1,0.3,True,
expert10-FBG2-007,expert10,FBG2,487,492,507,9.759903,9.859901,10.159898,-0.013387331701355303,0.39999500000000054,peak,1,0.3,True,
expert10-FBG2-008,expert10,FBG2,517,527,537,10.359896,10.559894,10.759892,-0.013515839859902594,0.3999959999999998,peak,1,0.3,True,
expert10-FBG2-009,expert10,FBG2,544,563,573,10.899891,11.279887,11.479885,-0.01499576992977764,0.5799939999999992,peak,1,0.3,True,
expert10-FBG2-010,expert10,FBG2,614,632,634,12.299877,12.659873,12.699873,-0.012974930769006056,0.3999959999999998,peak,1,0.3,True,
expert10-FBG2-011,expert10,FBG2,684,731,776,13.699863,14.639853,15.539844,-0.014209126573127534,1.8399809999999999,peak,1,0.3,True,
expert10-FBG2-012,expert10,FBG2,788,798,821,15.779842,15.97984,16.439835,-0.013766306060289226,0.6599929999999983,peak,1,0.3,True,
expert10-FBG2-013,expert10,FBG2,833,843,853,16.679833,16.879831,17.079829,-0.014570292074345266,0.3999960000000016,peak,1,0.3,True,
expert10-FBG2-014,expert10,FBG2,868,949,1033,17.379826,18.99981,20.679793,-0.014339779253836196,3.2999669999999988,peak,1,0.3,True,
expert10-FBG2-015,expert10,FBG2,1077,1087,1087,21.559784,21.759782,21.759782,-0.019655560139555394,0.1999980000000008,peak,1,0.3,False,"no_confirmed_recovery (end_index=1087, signal_length=1088)"
expert12-FBG2-001,expert12,FBG2,48,48,49,0.97999,0.97999,0.99999,-0.0014714860140340657,0.020000000000000018,peak,1,0.3,False,duration_below_min_samples (2 < 3)
expert12-FBG2-002,expert12,FBG2,107,108,110,2.159978,2.179978,2.219978,-0.0018878496504340636,0.05999999999999961,peak,1,0.3,False,low_amplitude (dev_std=2.91 < 5.0)
expert12-FBG2-003,expert12,FBG2,145,149,163,2.919971,2.99997,3.279967,0.018436182983659625,0.3599960000000002,peak,1,0.3,True,
expert12-FBG2-004,expert12,FBG2,196,206,216,3.93996,4.139958,4.339956,0.005965064102538927,0.3999959999999998,peak,1,0.3,True,
expert12-FBG2-005,expert12,FBG2,279,296,299,5.599944,5.93994,5.99994,0.0055612412586035385,0.3999959999999998,peak,1,0.3,True,
expert12-FBG2-006,expert12,FBG2,351,361,371,7.039929,7.239927,7.439925,0.006543665501064941,0.3999959999999998,peak,1,0.3,True,
expert12-FBG2-007,expert12,FBG2,399,414,486,7.99992,8.299917,9.739902,0.006227581584978216,1.7399820000000004,peak,1,0.3,True,
expert12-FBG2-008,expert12,FBG2,537,547,557,10.759892,10.95989,11.159888,0.006206252913618064,0.3999959999999998,peak,1,0.3,True,
expert12-FBG2-009,expert12,FBG2,579,582,599,11.599884,11.659883,11.99988,0.004928513985909162,0.3999959999999998,peak,1,0.3,True,
expert13-FBG2-001,expert13,FBG2,0,0,1,0.02,0.02,0.04,0.0019155125874435318,0.02,peak,1,0.3,False,duration_below_min_samples (2 < 3)
expert13-FBG2-002,expert13,FBG2,71,71,72,1.439986,1.439986,1.459986,-0.0015036249416036569,0.020000000000000018,peak,1,0.3,False,duration_below_min_samples (2 < 3)
expert13-FBG2-003,expert13,FBG2,112,112,112,2.259978,2.259978,2.259978,-0.0012053965033639001,0.0,peak,1,0.3,False,duration_below_min_samples (1 < 3)
expert13-FBG2-004,expert13,FBG2,160,163,169,3.219968,3.279967,3.399966,0.005246328438316777,0.17999799999999988,peak,1,0.3,True,
expert13-FBG2-005,expert13,FBG2,200,202,206,4.01996,4.05996,4.139959,0.0021988925409576277,0.11999899999999997,peak,1,0.3,False,low_amplitude (dev_std=3.21 < 5.0)
