dataset,fbg,impact_id,start_time,peak_time,end_time,duration,num_samples,sampling_frequency_hz,wavelet,decomposition_level,wavelet_energy,approximation_energy,detail_energy,wavelet_entropy
expert10,FBG2,expert10-FBG2-004,3.639964,3.719963,4.899951,1.2599869999999997,64,50.002500125006556,db4,3,0.0518580948578293,0.04981942911164603,0.002038665746183267,0.28346215089877164
expert10,FBG2,expert10-FBG2-005,5.279947,6.159938,7.919921,2.6399740000000005,133,49.99999999999885,db4,3,0.02950634088761189,0.029475287216869404,3.105367074248445e-05,0.012784326731632045
expert10,FBG2,expert10-FBG2-006,8.239918,8.439915,9.499905,1.2599870000000006,64,50.00250012500545,db4,3,0.01826161219534487,0.018244770042844926,1.6842152499942123e-05,0.01152099935223842
expert10,FBG2,expert10-FBG2-007,9.759903,9.859901,10.159898,0.39999500000000054,21,50.00250012500545,db4,3,0.00465099809835842,0.004650525748549469,4.7234980895171876e-07,0.0014937288167861293
expert10,FBG2,expert10-FBG2-008,10.359896,10.559894,10.759892,0.3999959999999998,21,50.000000000001066,db4,3,0.004663802578717199,0.004663569212603243,2.3336611395602535e-07,0.0007870576802522934
expert10,FBG2,expert10-FBG2-009,10.899891,11.279887,11.479885,0.5799939999999992,30,50.000000000001066,db4,3,0.008333488571776694,0.00833106526889985,2.4233028768424234e-06,0.00394613928509728
expert10,FBG2,expert10-FBG2-010,12.299877,12.659873,12.699873,0.3999959999999998,21,50.000000000001066,db4,3,0.00437156013440945,0.004370910892509972,6.492418994777249e-07,0.002102925573538798
expert10,FBG2,expert10-FBG2-011,13.699863,14.639853,15.539844,1.8399809999999999,93,50.00250012500989,db4,3,0.022122901981804628,0.02210027033708134,2.2631644723286847e-05,0.012593919450858316
expert10,FBG2,expert10-FBG2-012,15.779842,15.97984,16.439835,0.6599929999999983,34,50.000000000001066,db4,3,0.008456447963585785,0.00845555501364134,8.929499444456008e-07,0.0016356229349248005
expert10,FBG2,expert10-FBG2-013,16.679833,16.879831,17.079829,0.3999960000000016,21,49.999999999992184,db4,3,0.004939831293820257,0.004939655268924472,1.7602489578396756e-07,0.0005779466707032904
expert10,FBG2,expert10-FBG2-014,17.379826,18.99981,20.679793,3.2999669999999988,166,50.000000000001066,db4,3,0.03423818357042488,0.03419916664356742,3.9016926857461034e-05,0.013930528307059074
